Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
413,The Last Airbender,319713881,131772187,187941694,2010.csv,2010,0.4121566026093187,0.5878433973906814
414,The Conjuring,319494638,137400141,182094497,2013.csv,2013,0.4300546070510266,0.5699453929489734
415,The Proposal,317375031,163958031,153417000,2009.csv,2009,0.5166065852231456,0.4833934147768543
416,The Expendables 2,314975955,85028192,229947763,2012.csv,2012,0.26995137454222495,0.730048625457775
417,Chicken Little,314432837,135386665,179046172,2005.csv,2005,0.4305741928601433,0.5694258071398567
418,A Beautiful Mind,313542341,170742341,142800000,2001.csv,2001,0.5445591190505272,0.45544088094947277
419,Maze Runner: The Scorch Trials,312296056,81697192,230598864,2015.csv,2015,0.2616017411375826,0.7383982588624174
420,Resident Evil: The Final Chapter,312242626,26830068,285412558,2016.csv,2016,0.085926986791355,0.914073013208645
421,The Lego Batman Movie,311950384,175750384,136200000,2017.csv,2017,0.5633921066114155,0.4366078933885845
422,Knives Out,311605581,165363234,146242347,2019.csv,2019,0.5306812332093628,0.46931876679063717
423,Ocean's Thirteen,311312624,117154724,194157900,2007.csv,2007,0.376325002483677,0.623674997516323
424,Little Fockers,310650585,148438600,162211985,2010.csv,2010,0.47783138731253316,0.5221686126874668
425,Bolt,309979994,114053579,195926415,2008.csv,2008,0.3679385160579105,0.6320614839420895
426,Runaway Bride,309460292,152257509,157202783,1999.csv,1999,0.4920098407972807,0.5079901592027193
427,The Blind Side,309208309,255959475,53248834,2009.csv,2009,0.8277897700349314,0.17221022996506863
